DEPT,SP,GR,CALI,SFL_A,ILM,ILD,LLD,LLS,RHOB,NPHI,DT,well_name,DEPTH
200.0,-49.58205,83.5807,,127.3891,18.8552,30.635,,,,,153.60429,SB20,200.0
200.5,-49.37345,81.0685,,134.98289,17.8973,29.7611,,,,,153.0125,SB20,200.5
201.0,-50.72585,79.3646,,147.65511,17.3801,28.8707,,,,,151.6819,SB20,201.0
201.5,-51.06915,78.3994,,150.0645,17.0809,28.7072,,,,,150.5083,SB20,201.5
202.0,-50.93316,77.197,,138.67239,17.2434,28.9166,,,,,149.63631,SB20,202.0
202.5,-50.77826,74.4189,,122.4403,17.5409,29.2368,,,,,150.27139,SB20,202.5
203.0,-50.42646,71.7526,,120.569,18.5378,29.5812,,,,,151.3766,SB20,203.0
203.5,-49.87536,69.8838,,129.45889,19.9508,30.2821,,,,,152.16879,SB20,203.5
204.0,-49.63996,68.1658,,141.6039,21.0476,30.4209,,,,,152.8315,SB20,204.0
204.5,-49.50706,67.0516,,173.56911,20.7342,30.6528,,,,,154.9957,SB20,204.5
205.0,-49.40506,66.9224,,208.22459,20.4686,31.3625,,,,,159.52699,SB20,205.0
205.5,-48.87017,68.2861,,232.40829,21.043,33.2574,,,,,160.1411,SB20,205.5
206.0,-47.71507,71.0467,,254.8739,22.0942,34.8073,,,,,151.02299,SB20,206.0
206.5,-47.04817,73.0938,,304.73441,22.2991,34.5279,,,,,148.25031,SB20,206.5
207.0,-46.56807,73.9487,,357.2858,21.0831,33.1593,,,,,145.4731,SB20,207.0
207.5,-46.23357,74.8703,,343.57611,19.1587,31.9864,,,,,142.84731,SB20,207.5
208.0,-46.30907,75.6949,,244.0235,19.8714,32.5986,,,,,140.3131,SB20,208.0
208.5,-46.66718,76.9497,,183.4933,20.6522,32.935,,,,,139.5466,SB20,208.5
209.0,-46.96987,77.9344,,214.2077,21.3595,32.3269,,,,,139.78529,SB20,209.0
209.5,-46.83678,77.6788,,346.18851,21.3087,31.8691,,,,,139.3781,SB20,209.5
210.0,-46.93488,76.5359,,531.43188,21.2264,32.0004,,,,,138.2525,SB20,210.0
